[2019-12-24T08:49:57.942] [INFO] http - [::1 GET / 304 19ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:50:04.520] [INFO] http - [::1 POST /login 200 35ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:50:09.319] [INFO] http - [::1 GET /adv?username=admin 200 8ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:50:12.409] [INFO] http - [::1 GET /feature?username=admin 200 5ms][http://localhost:8006/adv?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:51:16.154] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2019-12-24T08:54:20.828] [INFO] http - [::1 GET /feature?username=admin 304 4ms][http://localhost:8006/adv?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:54:21.059] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:55:11.094] [INFO] http - [::1 GET /feature?username=admin 304 3ms][http://localhost:8006/adv?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:55:11.321] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:55:13.403] [INFO] http - [::1 GET /template?servid=8006003206a3466eaeb17941feb257fc 200 3ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T08:55:13.439] [INFO] http - [::1 GET /favicon.ico 404 2ms][http://localhost:8006/template?servid=8006003206a3466eaeb17941feb257fc HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
